post_id,person,username,account_type,caption,date,label
1,Hillary Clinton,hillaryclinton,politician,"“Hillary is the president we need for times like these. Equality for women, early education, and health care are just a few of the reasons I'm glad to be here to see her in person.” —Joseph from NYC",6/13/2015,0
2,Hillary Clinton,hillaryclinton,politician,"""I want every child to feel like he or she is a star, and every child to have a champion so that they have the best chances in life.""—Hillary in Hanover, New Hampshire with 3-year-old Louisa, who chose the perfect moment to make her stage debut.",7/6/2015,0
3,Hillary Clinton,hillaryclinton,politician,"95 years ago today, the ratification of the 19th Amendment brought women one step closer to winning the right to vote. Here’s to making history.",8/18/2015,0
4,Hillary Clinton,hillaryclinton,politician,Making being a nerd look cool since 1965. Happy first day of school to those headed back today!,8/24/2015,0
5,Hillary Clinton,hillaryclinton,politician,"We still have more work to do to make sure women earn equal pay and workers don't have to choose between keeping their jobs and caring for their families."" –Hillary at the Women for Hillary launch in New Hampshire today",9/5/2015,0
6,Hillary Clinton,hillaryclinton,politician,We need to believe again that we’re all in this together. We need to work to make sure that we give every child in America the same opportunities.,9/13/2015,0
7,Hillary Clinton,hillaryclinton,politician,"“It's time for us to say, wait a minute, we're better than this. Our country is better than this. And there are steps we can take that improve gun safety and further the prevention of violence by guns.” –Hillary earlier today in Manchester, NH",10/5/2015,0
8,Hillary Clinton,hillaryclinton,politician,"It’s almost Halloween! Steal Hillary’s iconic style, like this Donna Karan “cold shoulder” dress, with five DIY Hillary costumes on the blog (link in bio). 🎃",10/27/2015,0
9,Hillary Clinton,hillaryclinton,politician,"""We cannot allow terrorists to intimidate us into abandoning our values and humanitarian obligations. Turning away orphans, applying a religious test, discriminating against Muslims, slamming the door on every single Syrian refugee–that is just not who we are. We're better than that."" –Hillary",11/19/2015,0
10,Hillary Clinton,hillaryclinton,politician,"Today, President Obama awards Shirley Chisholm, the first African American woman elected to Congress, with the Presidential Medal of Freedom. Chisholm represented her native New York from 1969 to 1983, becoming a founding member of the Congressional Black Caucus. In 1972, Chisholm ran for the Democratic nomination, making history as the first African American from a major party to run for president. As congresswoman Chisholm staffed her office entirely with women, and remained a lifelong",11/24/2015,0
11,Hillary Clinton,hillaryclinton,politician,"I've never been able to resist story time with my grandchildren, Charlotte and Aidan. That's why I was inspired to release my new children's book, ""It Takes A Village."" I hope you share it with the kids in your life, and enjoy it as much as we have! Learn more at the link in my profile.",9/18/2017,1
12,Hillary Clinton,hillaryclinton,politician,Thanks to the women of @the.wing for the warm welcome last night! I was inspired by your passion and commitment — and getting to borrow an office from one of the greats.,4/4/2018,1
13,Hillary Clinton,hillaryclinton,politician,"A record number of women are running for office in 2018 -- what a perfect time to visit the Beyond Suffrage exhibit at the Museum of the City of New York and remember the long fight that's brought us to this moment. If you're here in NYC, this is one not to miss!",4/18/2018,1
14,Hillary Clinton,hillaryclinton,politician,"Earlier today, I marched in the annual Chappaqua Memorial Day Parade with everyone from Governors to Girls Scouts. Today we honor those who have made the ultimate sacrifice for their country to keep us safe here at home.",5/28/2018,1
15,Hillary Clinton,hillaryclinton,politician,"In 14 weeks—less than 100 days—so much will be on the line: Raising wages, health care for millions, reproductive freedom, workers' rights, LGBTQ rights, and the habitability of the planet. Are your friends and family registered and ready to vote? IWillVote.com",7/31/2018,1
16,Hillary Clinton,hillaryclinton,politician,"Mourning the loss today of Aretha Franklin who shared her spirit and talent with the world. She deserves not only our RESPECT but also our lasting gratitude for opening our eyes, ears and hearts. Rest in eternal peace, my friend.",8/16/2018,1
17,Hillary Clinton,hillaryclinton,politician,"Who's on the Supreme Court matters. Fifty-one years ago today, Thurgood Marshall was confirmed as an associate justice on the Court after spending his career dismantling Jim Crow laws around the country, including school segregation and the notion of ""separate but equal"" through the landmark Brown v. Board of Education case. He spent his 24 years on the bench challenging bigotry in all its forms. “If there is one thing this court is for,” he said, “it is for human rights.” ⁣
⁣
Hearings on Brett Kavanaugh's confirmation start next week, and his record shows he'd be a threat to women's rights, health care, the environment, equal pay, civil rights, and workers' rights. Have your senators heard from you? #StopKavanaugh",8/30/2018,1
18,Hillary Clinton,hillaryclinton,politician,"Do you have one of these pre-existing conditions? Do you care about someone who has one? Could you or someone you love ever get one? Then you should call your senators today to #StopKavanaugh from getting a lifetime seat on the Supreme Court. The next Supreme Court justice will have a chance to rule on the fate of the Affordable Care Act, which helps millions of people get affordable health care. Brett Kavanaugh’s record shows he’d be a threat to the law, from dissenting when his appeals court upheld the ACA's constitutionality to claiming the president can simply decide not to implement the ACA. It's up to us to save health care for millions of our fellow Americans—again. As Kavanaugh's hearings begin today, make sure your senators hear from you: (202) 224-3121",9/4/2018,1
19,Hillary Clinton,hillaryclinton,politician,"My heartfelt congratulations to Denis Mukwege and Nadia Murad for their well-deserved Nobel Peace Prize. I was honored to meet them while presenting them with Georgetown University's Award for Advancing Women in Peace and Security in 2014 and 2018. They've both courageously worked to focus the world's attention on the horrific problem of sexual violence as a weapon of war, often at great risk to their own personal safety. Their work has helped survivors get the care they need, along with a measure of peace.",10/5/2018,1
20,Hillary Clinton,hillaryclinton,politician,"Democracy may be our birthright as Americans, but it’s not something we can ever take for granted. Every generation has to fight for it. Today's our chance to get a crucial win. Let's rally our friends to vote against radicalism, bigotry, and corruption today and for candidates who will raise wages, fight for justice, and help more people get health care. Go to IWillVote.com to confirm where you'll vote, and bring your friends with you.",11/6/2018,1
1,Donald Trump,realdonaldtrump,politician,#FlashbackFriday Just after I did my renovation in Central Park of Trump Rink.,12/19/2014,0
